0.294011, 1
1.72923, 0.25
0.511565, 1
0.300308, 0.2
1.9584, 0.5
0.530362, 0.2
0.306823, 0.5
2.25671, inf
0.550577, 0.333333
0.313652, inf
2.65976, 0.333333
0.572336, 1
0.320772, 0.25
3.23823, 1
0.595824, 0.2
0.328191, 0.5
4.13533, 0.2
0.621175, 0.5
0.335955, inf
5.71439, 0.333333
0.648742, inf
0.34403, 0.333333
9.22978, 1
0.678848, 0.25
0.352528, 1
23.8127, 0.25
0.711797, 0.5
0.361417, 0.2
0.242264, 0.5
0.748011, inf
0.370758, 0.333333
0.246529, inf
0.787821, 0.333333
0.38057, 1
0.250936, 0.25
0.832194, 1
0.390839, 0.25
0.255482, 0.5
0.881731, 0.2
0.401702, 0.5
0.260161, 0.2
0.937389, 0.333333
0.413136, inf
0.265036, 0.333333
1.00038, 1
0.425231, 0.25
0.270084, 1
1.07197, 0.25
0.438023, 0.5
0.275315, 0.2
1.1547, 0.5
0.451516, 0.2
0.280728, 0.333333
1.25102, inf
0.465892, 0.333333
0.286319, inf
1.36455, 0.25
0.481145, 1
0.29216, 0.25
1.50009, 0.5
0.497419, 0.2
0.298229, 0.5
1.66521, 0.2
0.514787, 0.333333
0.304528, inf
1.87088, 0.333333
0.533298, inf
0.311094, 0.25
2.13378, 1
0.553174, 0.25
0.317892, 1
2.48162, 0.2
0.574575, 0.5
0.325018, 0.2
2.96206, 0.5
0.597638, inf
0.332452, 0.333333
3.67336, inf
0.622566, 0.25
0.3402, 1
4.83044, 0.25
0.649513, 1
0.348312, 0.2
7.04363, 0.5
0.678857, 0.2
0.356755, 0.5
12.9727, inf
0.710957, 0.333333
0.365642, inf
80.1089, 0.333333
0.746152, 1
0.374942, 0.25
0.250448, 1
0.784912, 0.2
0.384721, 0.5
0.254879, 0.2
0.827621, 0.5
0.394998, inf
0.259457, 0.333333
0.875337, inf
0.405762, 0.333333
0.264182, 1
0.928751, 0.25
0.417154, 1
0.269046, 0.25
0.98895, 0.5
0.429151, 0.2
0.274115, 0.5
1.05731, inf
0.44185, 0.333333
0.279366, inf
1.13533, 0.333333
0.45529, 1
0.284808, 0.25
1.22589, 1
0.46948, 0.25
0.290442, 0.5
1.33187, 0.2
0.484608, 0.5
0.296263, 0.2
1.45757, 0.333333
0.500672, inf
0.302345, 0.333333
1.60875, 1
0.517827, 0.25
0.308667, 1
1.79458, 0.25
0.536152, 0.5
0.31523, 0.2
2.02862, 0.5
0.555706, 0.2
0.322074, 0.333333
2.33201, inf
0.576721, 0.333333
0.329165, inf
2.74094, 0.25
0.599375, 1
0.336598, 0.25
3.32032, 1
0.623819, 0.2
0.344356, 0.5
4.2105, 0.2
0.650275, 0.333333
0.352445, inf
5.74774, 0.333333
0.67892, inf
0.360917, 0.25
9.04039, 1
0.710159, 0.25
0.369741, 1
21.0967, 0.2
0.744391, 0.5
0.379032, 0.2
0.254297, 0.5
0.781995, inf
0.388759, 0.333333
0.25875, inf
0.823494, 0.25
0.398993, 1
0.263349, 0.25
0.869334, 1
0.409753, 0.2
0.268104, 0.5
0.920672, 0.2
0.421031, 0.5
0.273013, inf
0.978307, 0.333333
0.432974, inf
0.278068, 0.333333
1.04347, 1
0.445558, 0.25
0.283337, 1
1.11775, 0.2
0.458889, 0.5
0.288795, 0.2
1.20287, 0.5
0.473007, inf
0.294455, 0.333333
1.30216, inf
0.487926, 0.333333
0.300315, 1
1.41901, 0.25
0.503841, 1
0.306373, 0.25
1.55852, 0.5
0.520756, 0.2
0.312705, 0.5
1.72766, inf
0.538836, 0.333333
0.319287, inf
1.93764, 0.333333
0.558169, 1
0.326123, 0.25
2.20534, 1
0.578821, 0.25
0.333254, 0.5
2.55788, 0.2
0.601039, 0.5
0.340646, 0.2
3.04321, 0.333333
0.625018, inf
0.348397, 0.333333
3.75166, inf
0.650927, 0.25
0.35649, 1
4.8903, 0.25
0.679006, 0.5
0.364932, 0.2
7.01406, 0.5
0.709459, 0.2
0.373778, 0.333333
12.3761, inf
0.74272, 0.333333
0.382996, inf
52.1472, 0.25
0.779234, 1
0.392705, 0.25
0.262551, 1
0.819424, 0.2
0.402876, 0.5
0.267171, 0.2
0.863876, 0.333333
0.413582, inf
0.271945, 0.333333
0.913099, inf
0.424846, 0.25
0.276881, 1
0.968371, 0.25
0.43666, 1
0.281978, 0.2
1.03061, 0.5
0.449176, 0.2
0.287229, 0.5
1.10122, inf
0.462373, 0.333333
0.292703, inf
1.18202, 0.25
0.476362, 1
0.298376, 0.25
1.27504, 1
0.491189, 0.2
0.304258, 0.5
1.38408, 0.2
0.506871, 0.5
0.310352, inf
1.51319, 0.333333
0.523612, inf
0.316655, 0.333333
1.66848, 1
0.541421, 0.25
0.323243, 1
1.85837, 0.2
0.560473, 0.5
0.330094, 0.2
2.0967, 0.5
0.580867, inf
0.337212, 0.333333
2.40468, inf
0.602678, 0.333333
0.344639, 1
2.81759, 0.25
0.626167, 1
0.352343, 0.25
3.40008, 0.5
0.651549, 0.2
0.360423, 0.5
4.28099, 0.2
0.67901, 0.333333
0.368862, inf
5.7783, 0.333333
0.708816, 1
0.377669, 0.25
8.87538, 1
0.741196, 0.25
0.386902, 0.5
19.0768, 0.2
0.776618, 0.5
0.396529, 0.2
0.266314, 0.333333
0.815578, inf
0.406673, 0.333333
0.270922, inf
0.858549, 0.25
0.417304, 1
0.275714, 0.25
0.906185, 0.5
0.428501, 0.2
0.280667, 0.5
0.959074, 0.2
0.440288, 0.333333
0.285789, inf
1.01862, 0.333333
0.45266, inf
0.291079, 0.25
1.08589, 1
0.465774, 0.25
0.296533, 1
1.16249, 0.2
0.479611, 0.5
0.302217, 0.2
1.2505, 0.333333
0.494288, inf
0.30811, 0.333333
1.35231, inf
0.509856, 0.25
0.314223, 1
1.47231, 0.25
0.526338, 1
0.320558, 0.2
1.61533, 0.5
0.543912, 0.2
0.327112, 0.5
1.78868, inf
0.562691, 0.333333
0.333964, inf
2.00272, 0.25
0.582767, 1
0.341092, 0.25
2.27458, 1
0.604278, 0.2
0.348501, 0.5
2.63128, 0.2
0.627312, 0.5
0.356235, inf
3.11937, 0.333333
0.652145, inf
0.36426, 0.333333
3.82779, 1
0.679014, 0.25
0.37268, 1
4.94596, 0.25
0.708124, 0.5
0.381478, 0.2
